0,1,2,3,4,5,6,7,8,9
100,0,0,,,,450,3,700,3
100,0,0,,,,450,3,700,3
80,10,10,,1.05,,,,800,16
80,10,10,,1.05,,,,800,16
80,10,10,,1.05,,,,800,16
80,10,10,,1.05,,,,800,16
80,10,10,,1.05,,,,800,16
80,10,10,,1.05,,,,800,16
80,10,10,,1,,500,5,800,15
80,10,10,,1,,500,5,800,15
80,10,10,,1,,500,5,800,15
80,10,10,,1,,500,5,800,15
92,4,4,92.5684,100,,780,10,,
92,4,4,92.5684,100,,780,10,,
92,4,4,92.5684,100,,780,10,,
92,4,4,92.5684,100,,780,10,,
92,4,4,92.5684,100,,780,10,,
90,5,5,92.53325,105,,450,5,850,12
90,5,5,92.53325,105,,450,5,850,12
90,5,5,92.53325,105,,450,5,850,12
90,5,5,92.53325,105,,450,5,850,12
92,6,2,92.4885,105,,480,5,730,15
92,6,2,92.4885,105,,480,5,730,15
92,6,2,92.4885,105,,480,5,730,15
92,6,2,92.4885,105,,480,5,730,15
90,10,0,92.3335,103,,730,12,,
90,10,0,92.3335,103,,730,12,,
90,10,0,92.3335,103,,730,12,,
90,10,0,92.3335,103,,730,12,,
15,50,15,79.1289,116,,900,8,,
15,50,15,79.1289,116,,900,8,,
15,50,15,79.1289,116,,900,8,,
15,50,15,79.1289,116,,900,8,,
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
80,15,5,92.15775,106,,480,5,800,15
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
92,4,4,92.5684,104,,745,15,,
95,5,0,92.52125,105,,490,5,680,12
95,0,0,89.77435,105,,490,5,680,12
95,0,5,92.721,105,,490,5,680,12
83,6,11,92.5101,105,,500,5,750,15
83,6,11,92.5101,105,,500,5,750,15
83,6,11,92.5101,105,,500,5,750,15
83,6,11,92.5101,105,,500,5,750,15
95,0,0,89.77435,105,,500,5,750,18
95,0,0,89.77435,105,,500,5,750,18
95,0,0,89.77435,105,,500,5,750,18
95,0,0,89.77435,105,,500,5,750,18
54,13,13,80.51345,120,,450,5,900,12
54,13,13,80.51345,120,,450,5,900,12
54,13,13,80.51345,120,,450,5,900,12
20,60,0,78.7174,120,,450,5,900,15
20,60,0,78.7174,120,,450,5,900,15
20,60,0,78.7174,120,,450,5,900,15
20,60,0,78.7174,120,,450,5,900,15
20,60,0,78.7174,120,,450,5,900,15
20,60,0,78.7174,120,,450,5,900,15
95,2,3,75.89,101,,680,10,,
95,2,3,75.89,101,,700,10,,
95,2,3,75.89,101,,730,10,,
95,2,3,75.89,101,,750,10,,
95,2,3,75.89,101,,700,10,,
95,2,3,75.89,101,,730,10,,
95,2,3,75.89,101,,750,10,,
95,2,3,75.89,101,,770,10,,
95,2,3,75.89,101,,790,10,,
95,2,3,75.89,101,,700,10,,
95,2,3,75.89,101,,730,10,,
95,2,3,75.89,101,,750,10,,
95,2,3,75.89,101,,770,10,,
95,2,3,75.89,101,,790,10,,
95,2,3,75.89,101,,810,10,,
95,2,3,75.89,101,,750,10,,
95,2,3,75.89,101,,770,10,,
95,2,3,75.89,101,,790,10,,
95,2,3,75.89,101,,810,10,,
95,2,3,75.89,101,,830,10,,
85,10,5,73.75,105,,580,5,800,12
85,10,5,73.75,105,,580,5,800,12
85,10,5,73.75,105,,580,5,800,12
85,10,5,73.75,105,,580,5,800,12
80,10,10,76.34,105,,750,20,,
80,10,10,76.34,105,,750,20,,
80,10,10,76.34,105,,750,20,,
80,10,10,76.34,105,,750,20,,
80,10,10,76.34,105,,750,20,,
80,10,10,76.34,105,,750,20,,
60,10,30,74.7,,,700,24,,
60,10,30,74.7,,,700,24,,
60,10,30,74.7,,,700,24,,
60,10,30,74.7,,,700,24,,
90,3,7,74.71,105,,750,15,,
90,3,7,74.71,105,,750,15,,
94,1.5,4.5,75.64,103,,680,24,,
94,1.5,4.5,75.64,103,,680,24,,
94,1.5,4.5,75.64,103,,680,24,,
88,3,9,74.52,110,,790,12,,
88,3,9,74.52,110,,790,12,,
88,3,9,74.52,110,,790,12,,
