0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
80.0,10.0,10.0,92.3555,100,0.06,12.0,24.305,12.0,1.31,3.0,737.7,0.0,145.0,72.0,2.0,550.0,4.0,780.0,12.0,,,2.8716,14.2047,1.648871709,101.4403145,2.296,,
80.0,10.0,10.0,92.3555,110,,,,,,,,,,,,470.0,6.0,780.0,15.0,,,2.8691,14.1817,1.6476363090000001,101.0998001,,,
80.0,10.0,10.0,92.3555,110,1.0,39.0,88.90585,39.0,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.0,6.0,780.0,15.0,,,2.8698,14.1924,1.648477246,101.22545490000002,,,
80.0,10.0,10.0,92.3555,110,2.0,39.0,88.90585,39.0,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.0,6.0,780.0,15.0,,,2.8703,14.195,1.6484920280000002,101.2792812,,,
80.0,10.0,10.0,92.3555,110,3.0,39.0,88.90585,39.0,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.0,6.0,780.0,15.0,,,2.8689,14.1914,1.6488782,101.15484620000001,,,
80.0,10.0,10.0,92.3555,110,4.0,39.0,88.90585,39.0,1.22,1.0,600.0,29.6,212.0,90.0,3.0,470.0,6.0,780.0,15.0,,,2.8697,14.1941,1.648732156,101.2305247,,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,480.0,6.0,750.0,16.0,,,2.8631,14.1631,1.648923661,100.5453493,2.0026,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,480.0,6.0,750.0,16.0,,,2.8642,14.1658,1.648604613,100.6418053,1.9726,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,480.0,6.0,750.0,16.0,,,2.8641,14.1651,1.648580706,100.629805,1.953,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,480.0,6.0,750.0,16.0,,,2.8643,14.165,1.648453956,100.6431489,1.9271,,
90.0,0.0,10.0,92.73100000000001,101,,,,,,,,,,,,,,600.0,10.0,,2,2.8688,14.1793,1.647529745,101.06155290000001,2.26,113.2,2.0
90.0,0.0,10.0,92.73100000000001,101,2.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,600.0,10.0,,2,2.8668,14.185,1.649341891,100.9612603,2.29,104.6,2.6
90.0,0.0,10.0,92.73100000000001,101,4.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,600.0,10.0,,2,2.8663,14.1871,1.649873821,100.9409875,2.23,79.7,3.7
90.0,0.0,10.0,92.73100000000001,101,6.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,600.0,10.0,,2,2.8659,14.1881,1.650220408,100.91992929999999,2.22,78.5,4.8
90.0,0.0,10.0,92.73100000000001,101,2.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,720.0,10.0,,2,2.8668,14.185,1.649341891,100.9612603,2.29,104.6,2.6
90.0,0.0,10.0,92.73100000000001,101,4.0,13.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,720.0,10.0,,2,2.8663,14.1871,1.649873821,100.9409875,2.23,79.7,3.7
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,680.0,10.0,,,2.8754,14.19806,1.645922886,101.66142090000001,,,
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,700.0,10.0,,,2.8755,14.19849,1.6459154930000002,101.6715713,,,
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,730.0,10.0,,,2.87569,14.19868,1.645828769,101.6863685,,,
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,750.0,10.0,,,2.8759900000000003,14.19985,1.645792695,101.71596690000001,,,
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,780.0,10.0,,,2.87775,14.20708,1.645623606,101.892351,,,
94.0,4.0,2.0,92.5616,101,1.0,73.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,680.0,10.0,,,2.87506,14.19356,1.6455958019999999,101.6051671,,,
