0,1,2,3,4,5,6,7,8,9
95.0,3.615441949285168,4.0,92.12966999999999,101.0,863.7020439880199,700.0,60.0,792.1753789251428,10.712799366437881
95.0,2.2638886875487483,4.0,92.12966999999999,101.0,854.9618301843037,750.0,10.0,790.9789089831088,9.827577880735243
95.0,2.5488305810999057,4.0,92.12966999999999,101.0,862.0696945111833,750.0,10.0,785.5777785495198,12.0
83.22,5.01,11.77,92.5471225,103.0,890.1517306518955,500.0,6.0,780.0,12.0
82.91,4.99,11.71,92.3188268,103.0,890.8602188864348,500.0,6.0,780.0,12.0
83.13,4.98,11.73,92.4542442,103.0,888.3369253421098,500.0,6.0,780.0,11.380719004091636
90.0,4.576486523883932,10.0,92.73100000000001,103.0,865.6686516744915,730.0,10.0,819.604352426917,9.675710846279392
89.5,3.914671218104453,10.0,92.437535,103.0,869.5695265030754,730.0,10.0,814.7126484245292,9.70811189857956
89.5,3.718849563269113,10.0,92.437535,103.0,871.4073117841876,730.0,10.0,817.8292840620749,9.826215891017616
89.5,2.107317379840671,10.0,92.437535,103.0,877.4403369085263,730.0,10.0,828.3368652137423,10.035783967473558
100.0,-0.3620866196800554,-0.09984277798965646,92.70700000000001,101.0,857.5730207242275,650.0,10.0,752.6619411888397,16.909509571295377
99.0,1.333902740680374,1.6202384070364184,92.12007,101.0,855.0053130250466,770.0,10.0,779.3185878246286,12.14956359194744
98.5,0.7266256380067286,1.362999090687036,91.826605,101.0,860.5604767844583,790.0,10.0,777.1185046023265,12.384678883163435
98.0,1.089998378821221,1.5747323094410968,91.53314,101.0,855.7887097032925,810.0,10.0,778.9298699885336,12.100235763036268
92.0,4.0,4.0,92.5664,103.0,860.9277599625017,740.0,12.0,794.3154623649922,7.933220220585714
91.5,4.0,3.5,91.97827,103.0,867.0345370147331,740.0,12.0,798.2533379264644,6.0
77.6,9.7,9.7,90.605255,105.0,979.5351798330825,260.0,2.0,750.0,6.0
80.0,10.0,10.0,92.3555,105.0,904.9263098449173,260.0,2.0,750.0,12.0
80.0,10.0,10.0,92.3555,105.0,886.0519001452095,500.0,4.0,750.0,12.0
80.0,10.0,10.0,92.3555,105.0,895.5901472191489,500.0,4.0,750.0,12.0
80.0,10.0,10.0,92.3555,105.0,896.8596964260466,500.0,4.0,750.0,12.0
80.0,10.0,10.0,92.3555,105.0,884.4997418031568,500.0,4.0,750.0,12.0
80.0,10.0,10.0,92.3555,105.0,879.6672990678974,500.0,4.0,750.0,16.0
80.0,10.0,10.0,92.3555,108.0,882.4611473815685,550.0,5.0,800.0,16.0
80.0,10.0,10.0,92.3555,108.0,880.8644116057138,550.0,5.0,800.0,16.0
80.0,10.0,10.0,92.3555,108.0,881.6498029373719,550.0,5.0,800.0,16.0
80.0,10.0,10.0,92.3555,108.0,887.461811459888,550.0,5.0,800.0,12.0
80.0,10.0,10.0,92.3555,101.91775913874352,888.0260360708627,550.0,4.0,780.0,12.0
80.0,10.0,10.0,92.3555,103.76804996429784,890.9802710687794,550.0,4.0,780.0,12.0
80.0,10.0,10.0,92.3555,103.22978929195068,886.6372982195097,550.0,4.0,780.0,12.0
80.0,10.0,10.0,92.3555,101.44355018001816,883.6444221177638,550.0,4.0,780.0,12.0
80.0,10.0,10.0,92.3555,109.81121930720155,881.1441329620873,550.0,4.0,780.0,15.0
80.0,10.0,10.0,92.3555,110.0,882.3378993102272,470.0,6.0,780.0,15.0
80.0,10.0,10.0,92.3555,110.0,882.8027608896954,470.0,6.0,780.0,15.0
80.0,10.0,10.0,92.3555,110.0,885.5950466914418,470.0,6.0,780.0,15.0
80.0,10.0,10.0,92.3555,110.0,881.9877030951664,470.0,6.0,780.0,15.0
80.0,10.0,10.0,92.3555,110.0,884.8129999941743,470.0,6.0,780.0,15.0
80.0,10.0,10.0,92.3555,107.10397521000307,880.8387955080768,450.0,6.0,750.0,15.0
80.0,10.0,10.0,92.3555,107.58984922314066,880.7019778555801,450.0,6.0,750.0,15.0
80.0,10.0,10.0,92.3555,107.67231136478424,882.9144418556847,450.0,6.0,750.0,15.0
80.0,10.0,10.0,92.3555,107.7200943213038,881.8405996039377,450.0,6.0,750.0,15.0
