0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,Unnamed: 27,Unnamed: 28
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,480.0,6.0,750.0,16.0,,,2.8631,14.1631,1.6489236608338278,100.54534928991175,2.0026,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,480.0,6.0,750.0,16.0,,,2.8642,14.1658,1.6486046132718855,100.64180528314904,1.9726,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,480.0,6.0,750.0,16.0,,,2.8641,14.1651,1.6485807059809365,100.6298049913674,1.953,,
80.0,10.0,10.0,92.3555,105,,,,,,,,,,,,480.0,6.0,750.0,16.0,,,2.8643,14.165,1.6484539561731195,100.64314892757149,1.9271,,
90.0,0.0,10.0,92.731,101,,,,,,,,,,,,,,600.0,10.0,,2,2.8688,14.1793,1.647529745305819,101.06155292313913,2.26,113.2,2.0
90.0,0.0,10.0,92.731,101,2.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,600.0,10.0,,2,2.8668,14.185,1.6493418910748336,100.96126034377086,2.29,104.6,2.6
90.0,0.0,10.0,92.731,101,4.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,600.0,10.0,,2,2.8663,14.1871,1.6498738210701367,100.94098747472563,2.23,79.7,3.7
90.0,0.0,10.0,92.731,101,6.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,600.0,10.0,,2,2.8659,14.1881,1.650220407783477,100.91992925726595,2.22,78.5,4.8
90.0,0.0,10.0,92.731,101,2.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,720.0,10.0,,2,2.8668,14.185,1.6493418910748336,100.96126034377086,2.29,104.6,2.6
90.0,0.0,10.0,92.731,101,4.0,1.0,26.982,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,,,720.0,10.0,,2,2.8663,14.1871,1.6498738210701367,100.94098747472563,2.23,79.7,3.7
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,680.0,10.0,,,2.8754,14.19806,1.6459228860912103,101.66142094465218,,,
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,700.0,10.0,,,2.8755,14.19849,1.6459154929577464,101.67157129709712,,,
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,730.0,10.0,,,2.87569,14.19868,1.6458287692113314,101.68636845246436,,,
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,750.0,10.0,,,2.87599,14.19985,1.6457926951530895,101.71596688133874,,,
94.0,4.0,2.0,92.5616,101,,,,,,,,,,,,,,780.0,10.0,,,2.87775,14.20708,1.645623606405467,101.89235096719047,,,
94.0,4.0,2.0,92.5616,101,1.0,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,680.0,10.0,,,2.87506,14.19356,1.6455958020586237,101.60516714487136,,,
94.0,4.0,2.0,92.5616,101,1.0,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,700.0,10.0,,,2.87508,14.1994,1.6462614373629025,101.64838721269034,,,
94.0,4.0,2.0,92.5616,101,1.0,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,730.0,10.0,,,2.8752,14.20203,1.646497634947134,101.67570137805768,,,
94.0,4.0,2.0,92.5616,101,1.0,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,750.0,10.0,,,2.87532,14.20213,1.6464405121285053,101.68490465896356,,,
94.0,4.0,2.0,92.5616,101,1.0,3.0,180.94788,73.0,1.5,2.0,761.0,31.0,146.0,72.0,5.0,,,780.0,10.0,,,2.8761,14.20504,1.6463312587647627,101.76092753973015,,,
100.0,0.0,0.0,92.707,101,,,,,,,,,,,,,,650.0,10.0,,,2.875175,14.796908,1.7154791157639682,105.93273187611103,,75.1,1.7
100.0,0.0,0.0,92.707,101,,,,,,,,,,,,,,680.0,10.0,,,2.875224,14.198863,1.6461167315427714,101.65472512649718,,97.4,
100.0,0.0,0.0,92.707,101,,,,,,,,,,,,,,700.0,10.0,,,2.875344,14.201038,1.646300176025315,101.67878350278053,,132.6,2.55
100.0,0.0,0.0,92.707,101,,,,,,,,,,,,,,730.0,10.0,,,2.876077,14.201723,1.6459599887856502,101.73553831529455,,167.9,
100.0,0.0,0.0,92.707,101,,,,,,,,,,,,,,750.0,10.0,,,2.87663,14.200253,1.6454732331466566,101.76413009034685,,141.0,2.45
100.0,0.0,0.0,92.707,101,,,,,,,,,,,,,,770.0,10.0,,,2.87697,14.198532,1.6450793717000873,101.77585108063245,,203.0,
100.0,0.0,0.0,92.707,101,,,,,,,,,,,,,,800.0,10.0,,,2.878883,14.196934,1.643801201137154,101.89977507978911,,220.3,1.95
