0,1,2,3,4,5,6,7
92.0,4.0,4.0,105.0,24.0,2.0,790.0,15.0
92.0,4.0,4.0,105.0,24.0,3.0,790.0,15.0
85.0,5.0,8.0,105.0,0.0,2.0,750.0,10.0
85.0,5.0,6.0,105.0,0.0,4.0,750.0,10.0
70.0,30.0,0.0,105.0,8.0,1.0,450.0,12.0
80.0,20.0,0.0,105.0,8.0,2.0,450.0,12.0
90.0,10.0,0.0,105.0,8.0,4.0,450.0,12.0
80.0,0.0,20.0,110.0,24.0,1.0,750.0,12.0
80.0,0.0,20.0,110.0,24.0,2.0,750.0,12.0
80.0,0.0,20.0,110.0,24.0,5.0,750.0,12.0
99.5,0.0,0.0,103.0,16.0,0.0,730.0,16.0
99.0,0.0,0.0,103.0,16.0,1.0,730.0,16.0
98.0,0.0,0.0,103.0,16.0,2.0,730.0,16.0
89.6,4.7,4.0,101.0,26.0,0.0,770.0,10.0
89.6,4.7,4.0,101.0,26.0,1.0,770.0,10.0
90.0,5.0,5.0,105.0,26.0,0.0,680.0,15.0
90.0,5.0,5.0,105.0,26.0,0.0,680.0,15.0
90.0,5.0,5.0,105.0,26.0,1.0,680.0,15.0
100.0,0.0,0.0,101.0,26.0,1.0,770.0,10.0
100.0,0.0,0.0,101.0,26.0,1.0,790.0,10.0
100.0,0.0,0.0,101.0,26.0,2.0,810.0,10.0
80.0,10.0,10.0,105.0,21.0,0.0,750.0,10.0
90.0,5.0,5.0,101.0,20.0,0.0,750.0,10.0
96.0,0.0,4.0,101.0,14.0,1.0,700.0,10.0
96.0,0.0,4.0,101.0,14.0,1.0,700.0,30.0
96.0,0.0,4.0,101.0,14.0,1.0,700.0,60.0
96.0,0.0,4.0,101.0,26.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,17.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,16.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,21.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,24.0,1.0,800.0,10.0
96.0,0.0,4.0,101.0,0.0,1.0,800.0,10.0
92.0,4.0,4.0,100.0,26.0,1.0,780.0,10.0
92.0,4.0,4.0,100.0,26.0,2.0,780.0,10.0
92.0,4.0,4.0,100.0,26.0,0.0,780.0,10.0
92.0,4.0,4.0,100.0,26.0,0.0,780.0,10.0
88.8,5.6,5.0,100.0,16.0,0.0,780.0,10.0
88.8,5.6,5.0,100.0,16.0,0.0,780.0,10.0
88.8,5.6,5.0,100.0,16.0,1.0,780.0,10.0
85.0,0.0,10.0,105.0,0.0,5.0,750.0,15.0
90.0,0.0,7.0,105.0,0.0,3.0,750.0,20.0
80.0,10.0,10.0,105.0,27.0,0.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,1.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,1.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,0.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,1.0,850.0,15.0
80.0,10.0,10.0,105.0,27.0,1.0,850.0,15.0
