0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
95.0,0.0,5.0,92.719,101.0,1.0,42.0,95.95000000000002,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,478.41312518850947,4.692507966364503,700.0,60.0,1.5126751925313302,2.0
95.0,0.0,5.0,92.719,101.0,1.0,13.0,26.981999999999996,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,496.39286639943674,6.4629720061895455,750.0,10.0,1.4123196649563659,2.0
95.0,0.0,5.0,92.719,101.0,1.0,42.0,95.95000000000002,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,501.37236657063625,4.886531853678142,750.0,10.0,1.4880138902044329,2.0
83.22,5.01,11.77,92.5471225,103.0,1.8624249256243064,40.11959499393949,92.10629732423206,40.11959499289535,1.3241538270543134,4.461479933961543,636.2995824393588,39.32121056883436,166.36323647219115,88.55102399193566,3.8156698946877547,500.0,6.0,780.0,12.0,1.4706767135912293,3.0
82.91,4.99,11.71,92.3188268,103.0,0.39,13.0,26.981999999999996,13.0,1.61,1.0,577.5,41.8,118.0,53.0,3.0,500.0,6.0,780.0,12.0,1.4200766432401137,3.0
83.13,4.98,11.73,92.4542442,103.0,1.7793586690666205,50.650599715678695,120.89108414852664,50.65059970958939,1.5829374127761195,6.215245897236958,678.7373093222058,62.307003158530186,169.32866716587932,113.8264189672386,4.330244419213967,500.0,6.0,780.0,12.0,1.451900948547781,3.0
90.0,0.0,10.0,92.73100000000001,103.0,1.9157753587409976,12.999999478645167,26.982000602487382,12.99999947864518,1.6100000000324046,0.9999999532536974,577.4999999993065,41.80000020991139,117.99999182715395,52.99999342002418,2.99999780767584,479.36303599893824,5.497404740977057,730.0,10.0,1.4625133293734986,2.369292568641754
90.0,0.0,10.0,92.73100000000001,103.0,0.5,42.0,95.95000000000002,42.0,2.16,7.0,684.3,72.1,139.0,69.0,6.0,482.76376238749504,4.609360079232917,730.0,10.0,1.5050991593183314,2.1581755306952175
90.0,0.0,10.0,92.73100000000001,103.0,0.5,5.0,10.81,5.0,2.04,2.0,800.6,26.7,87.0,27.0,3.0,560.2782222089055,4.624810854012112,730.0,10.0,1.4531654904128413,2.995503857071185
90.0,0.0,10.0,92.73100000000001,103.0,1.1942128407596138,48.317484600588315,114.7279764427461,48.317484599495714,1.939529658555577,7.034740928738058,757.6211583132592,110.02881864829467,148.46539236183807,131.46802354455306,5.4290079926507895,469.7993190156413,4.329389986911096,730.0,10.0,1.4662925755273368,2.7522376398222326
100.0,0.0,0.0,92.70700000000001,101.0,3.338431842388747,22.736751873725016,50.39280071350105,22.736751873957587,2.8634432216370174,1.5895846238042077,1160.2839861726384,232.61392736303065,104.67943364673685,126.11123851444088,3.5891110594350435,490.9822252727003,5.389185718376193,650.0,10.0,1.421198294542097,2.3046274416916184
100.0,0.0,0.0,92.70700000000001,101.0,1.0,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,499.25449063713654,3.992264665558949,770.0,10.0,1.3856337308081752,2.7284058241858706
100.0,0.0,0.0,92.70700000000001,101.0,1.5,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,502.69165752921924,4.044189470253894,790.0,10.0,1.3815293396365549,2.2018240580851605
100.0,0.0,0.0,92.70700000000001,101.0,2.0,74.0,183.84,74.0,2.36,5.0,770.0,78.6,139.0,66.0,6.0,500.84499339594447,3.998344153475306,810.0,10.0,1.388211249185097,2.5683251204780606
77.6,9.7,9.7,90.605255,105.0,0.03,22.0,47.867,22.0,1.54,5.0,658.8,7.6,147.0,74.0,3.0,260.0,2.0,750.0,6.0,1.6776388026039997,3.0
