0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
77.6,9.7,9.7,90.605255,105,0.03,22,47.867,22,1.54,5,658.8,7.6,147,74,3,260,2,750,6,,3
80,10,10,92.3555,105,,,,,,,,,,,,260,2,750,6,,3
80,10,10,92.3555,105,,,,,,,,,,,,500,4,750,12,,
80,10,10,92.3555,105,0.25,74,183.84,74,2.36,5,770,78.6,139,66,6,500,4,750,12,,
80,10,10,92.3555,105,0.5,74,183.84,74,2.36,5,770,78.6,139,66,6,500,4,750,12,,
80,10,10,92.3555,105,1,74,183.84,74,2.36,5,770,78.6,139,66,6,500,4,750,12,,
80,10,10,92.3555,105,2,74,183.84,74,2.36,5,770,78.6,139,66,6,500,4,750,12,,
80,10,10,92.3555,108,,,,,,,,,,,,550,5,800,16,,
80,10,10,92.3555,108,5,19,39.098,19,0.82,3,418.8,48.4,243,138,1,550,5,800,16,,
80,10,10,92.3555,108,5,22,47.867,22,1.54,5,658.8,7.6,147,74,3,550,5,800,16,,
80,10,10,92.3555,108,,,,,,,,,,,,550,5,800,16,,
80,10,10,92.3555,100,,,,,,,,,,,,550,4,780,12,,
80,10,10,92.3555,100,0.01,12,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,
80,10,10,92.3555,100,0.03,12,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,
80,10,10,92.3555,100,0.05,12,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,
80,10,10,92.3555,100,0.06,12,24.305,12,1.31,3,737.7,0,145,72,2,550,4,780,12,,
80,10,10,92.3555,110,,,,,,,,,,,,470,6,780,15,,
80,10,10,92.3555,110,1,39,88.90585,39,1.22,1,600,29.6,212,90,3,470,6,780,15,,
80,10,10,92.3555,110,2,39,88.90585,39,1.22,1,600,29.6,212,90,3,470,6,780,15,,
80,10,10,92.3555,110,3,39,88.90585,39,1.22,1,600,29.6,212,90,3,470,6,780,15,,
80,10,10,92.3555,110,4,39,88.90585,39,1.22,1,600,29.6,212,90,3,470,6,780,15,,
80,10,10,92.3555,105,,,,,,,,,,,,480,6,750,16,,
80,10,10,92.3555,105,,,,,,,,,,,,480,6,750,16,,
80,10,10,92.3555,105,,,,,,,,,,,,480,6,750,16,,
80,10,10,92.3555,105,,,,,,,,,,,,480,6,750,16,,
90,0,10,92.731,101,,,,,,,,,,,,,,600,10,,2
90,0,10,92.731,101,2,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,600,10,,2
90,0,10,92.731,101,4,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,600,10,,2
90,0,10,92.731,101,6,13,26.982,13,1.61,1,577.5,41.8,118,53,3,,,600,10,,2
