0,1,2,3,4,5,6,7,8,9,10,11
190.5,,,167.4,87.87401575,,,,25.0,25.0,2.7,4.4
202.8,,,167.3,82.49506903,,,,25.0,25.0,2.7,4.5
196.8,,,163.5,83.07926829,,,,50.0,50.0,2.7,4.3
182.86,128.91899999999998,70.5,101.12,55.3,,,,30.0,30.0,2.8,4.3
175.91,155.68,88.5,,,,,,30.0,30.0,2.8,4.3
166.06,158.92,95.7,140.32,84.5,,,,30.0,30.0,2.8,4.3
167.88,152.43,90.8,,,,,,30.0,30.0,2.8,4.3
189.67,108.6,57.257341700000005,77.765,41.0,,,,45.0,45.0,2.8,4.3
192.81,123.352,63.97593486,57.151,45.2,,,,45.0,45.0,2.8,4.3
193.38,161.564,83.54741959,130.726,67.6,,,,45.0,45.0,2.8,4.3
192.44,138.77100000000002,72.11130742,102.57,53.3,,,,45.0,45.0,2.8,4.3
195.61,,,105.434,53.9,,,,25.0,25.0,2.8,4.5
190.31,,,126.936,66.7,,,,25.0,25.0,2.8,4.5
186.92,,,146.358,78.3,,,,25.0,25.0,2.8,4.5
175.74,,,117.919,67.1,,,,25.0,25.0,2.8,4.5
,,,,,200.2,,,25.0,25.0,2.7,4.3
,,,,,202.1,,,25.0,25.0,2.7,4.3
,,,,,203.2,,,25.0,25.0,2.7,4.3
172.84,146.74,84.9,,,,,,,,2.7,4.3
170.86,162.83,95.3,,,,,,,,2.7,4.3
170.53,164.57,96.5,,,,,,,,2.7,4.3
173.87,173.7,99.9,,,,,,,,2.7,4.3
149.0,,,,,,,,,,2.8,4.3
152.93,,,,,,,,,,2.8,4.3
207.0,,,,,,,,,,2.8,4.3
176.37,,,,,,,,,,2.8,4.3
197.14,165.0,83.69686517,,,,,,,,2.0,4.6
219.8,185.51,84.4,,,,,,,,2.0,4.6
159.64,137.86,86.35680281,,,,,,,,2.0,4.6
220.89,89.9,40.69899045,,,,,,,,2.0,4.8
225.0,166.44,73.97333333,,,,,,,,2.0,4.8
203.43,153.1,75.25930295,,,,,,,,2.0,4.8
213.3,204.65099999999998,95.94514768,,,,,,,,2.0,4.8
220.465,146.98,66.66817862,,,,,,,,2.0,4.8
169.3,133.02,78.57058476,,,,,,,,2.0,4.8
,,,,,224.7,195.489,87.0,30.0,30.0,2.7,4.3
,,,,,222.5,188.75,84.83146067,30.0,30.0,2.7,4.3
,,,,,216.0,178.0,82.40740741,30.0,30.0,2.7,4.3
,,,,,211.1,156.214,74.0,30.0,30.0,2.7,4.3
,,,,,227.8,189.074,83.0,30.0,30.0,2.7,4.3
,,,,,226.0,200.0,88.49557522,30.0,30.0,2.7,4.3
,,,,,226.0,199.0,88.05309735,30.0,30.0,2.7,4.3
,,,,,225.0,192.5,85.55555556,30.0,30.0,2.7,4.3
,,,,,224.0,186.0,83.03571429,30.0,30.0,2.7,4.3
,,,,,211.0,196.0,92.89099526,30.0,30.0,2.7,4.3
,,,,,218.7,201.0,91.90672154,30.0,30.0,2.7,4.3
,,,,,223.0,208.0,93.2735426,30.0,30.0,2.7,4.3
,,,,,226.0,207.0,91.59292035,30.0,30.0,2.7,4.3
,,,,,225.0,199.0,88.44444444,30.0,30.0,2.7,4.3
,,,,,216.0,188.7,87.36111111,30.0,30.0,2.7,4.3
,,,,,206.0,194.0,94.17475728,30.0,30.0,2.7,4.3
,,,,,215.2,203.0,94.33085502,30.0,30.0,2.7,4.3
,,,,,217.0,200.0,92.16589862,30.0,30.0,2.7,4.3
,,,,,210.0,199.0,94.76190476,30.0,30.0,2.7,4.3
,,,,,208.0,188.0,90.38461538,30.0,30.0,2.7,4.3
191.5,161.3579,84.26,,,203.0,155.6807,76.69,25.0,55.0,2.7,4.3
,,,,,295.0,189.095,64.1,25.0,25.0,2.7,4.5
200.0,172.46,86.23,,,,,,25.0,55.0,2.7,4.3
195.0,180.453,92.54,,,209.0,181.203,86.7,25.0,55.0,2.7,4.3
155.0,139.5,90.0,,,,,,25.0,55.0,2.7,4.3
,,,,,284.2,226.7916,79.8,25.0,25.0,2.7,4.5
,,,,,210.0,168.021,80.01,,,2.7,4.3
210.7,179.095,85.0,,,205.0,184.705,90.1,,,2.7,4.3
198.5,115.13,58.0,,,200.0,137.0,68.5,,,2.7,4.3
70.5,36.4485,51.7,,,,,,,,,
57.5,39.27825,68.31,,,,,,,,,
63.0,44.73,71.0,,,,,,,,,
77.5,67.8435,87.54,,,,,,,,,
,,,,,,,,,,,
182.0,,,,,,,,,,2.7,4.3
196.0,,,,,,,,,,2.7,4.5
203.0,,,,,,,,,,2.7,4.8
207.0,,,,,,,,,,2.7,5.0
149.0,,,,,,,,,,2.7,4.3
179.0,,,,,,,,,,2.7,4.5
197.0,,,,,,,,,,2.7,4.8
200.0,,,,,,,,,,2.7,5.0
