0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
100,0,0,92.707,101,0.5,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,750,10,,,2.876535,14.200863,1.645598263,101.7617799,,177.8,3.05
100,0,0,92.707,101,0.5,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,770,10,,,2.876745,14.198823,1.645241758,101.7620181,,190.4,
100,0,0,92.707,101,0.5,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,800,10,,,2.878629,14.196688,1.643917759,101.8800295,,206.8,2.05
100,0,0,92.707,101,0.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,,,650,10,,,2.876168,14.195157,1.645146946,101.6949371,,32.2,3.3
100,0,0,92.707,101,0.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,,,680,10,,,2.876225,14.198465,1.645497715,101.7226676,,51,
100,0,0,92.707,101,0.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,,,700,10,,,2.876317,14.199264,1.645537679,101.7348998,,67.2,2.75
100,0,0,92.707,101,0.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,,,730,10,,,2.876474,14.199739,1.645502909,101.7494099,,89.2,
100,0,0,92.707,101,0.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,,,750,10,,,2.876821,14.201218,1.645475799,101.7845607,,91.7,2.5
100,0,0,92.707,101,0.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,,,770,10,,,2.877027,14.202028,1.645451827,101.8049445,,95.7,
100,0,0,92.707,101,0.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,,,800,10,,,2.877425,14.203734,1.645421862,101.8453459,,106.6,2.9
100,0,0,92.707,101,0.5,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,650,10,,,2.876154,14.19494,1.645129804,101.6923925,,38.6,4
100,0,0,92.707,101,0.5,Ta,180.94788,73,1.5,2,761,31,146,72,5,,,680,10,,,2.876468,14.201701,1.645733703,101.7630443,,68.1,
