Id,Ni,Mn,Co,Li,dapant,dopant_ratio,tem, holding_time
31,90,2,8,105,Mg,2,710,15
32,90,2,8,105,Ta,1,710,15
34,90,5,5,101,B,0.4,750,10
35,90,5,5,101,B,1,750,10
36,92,4,4,105,W,0.25,780,10
37,92,4,4,105,W,0.5,780,10
38,92,4,4,105,W,1,780,10
39,92,4,4,105,W,2,780,10
40,90,0,10,105,Te,0.5,750,15
41,90,0,10,105,Te,1,750,15
42,90,0,10,105,Te,2,750,15
43,94,1.5,4.5,103,Ga,0.1,680,24
44,94,1.5,4.5,103,Ga,0.25,680,24
45,80,10,10,105,Ti,1.5,900,10
46,80,10,10,105,Ti,1.6,900,10
47,80,10,10,105,Nb,0.5,650,6
49,95,2.5,2.5,101,W,0.01,700,10
50,95,2.5,2.5,101,F,0.01,700,10
52,80,10,10,105,F,2,720,12
53,80,10,10,105,F,4,720,12
54,80,10,10,105,F,6,720,12
55,80,10,10,105,F,8,720,12
56,94,3,3,103,Zr,0.15,680,24
57,94,3,3,103,Ga,0.1,680,24
59,90,5,5,101,Ce,1,800,30
60,90,5,5,101,Ce,2,850,30
61,80,10,10,101,Y,1,780,15
62,80,10,10,101,Y,2,780,15
63,80,10,10,101,Y,3,780,15
64,80,10,10,101,Y,4,780,15
65,80,10,10,101,Y,1,780,15
66,80,10,10,101,Y,2,780,15
67,80,10,10,101,Y,3,780,15
68,80,10,10,101,Y,4,780,15
69,94,0,4,103,Zn,2,640,15
70,85,5,10,105,Nb,0.3,760,6
71,90,0,10,101,B,0.5,730,10
72,90,0,10,101,B,1,730,10
73,90,0,10,101,B,1.5,730,10
74,90,0,10,101,B,2,730,10
75,90,0,10,101,B,1.5,750,10
76,90,0,10,101,B,1.5,780,10
77,94,3,3,103,B,0.25,680,24
1,95,2,3,101,Al,1,680,10
2,95,2,3,101,Al,1,700,10
3,95,2,3,101,Al,1,730,10
4,95,2,3,101,Al,1,750,10
21,80,10,10,105,Nb,0.5,750,20
22,80,10,10,105,Nb,0.5,750,20
24,94,1.5,4.5,103,Ga,0.1,680,24
25,94,1.5,4.5,103,Ga,0.25,680,24
26,80,10,10,102,Cu,0.5,800,16
27,80,10,10,102,Cu,1,800,16
28,80,10,10,102,Cu,2,800,16
29,92,4,4,101,Al,1,750,10
30,92,4,4,101,Al,3,750,10
31,92,4,4,101,Al,5,750,10
37,83,6,11,115,Tb,0.5,760,18
38,83,6,11,115,Tb,1,760,18
39,92,4,4,105,Ti,1,790,15
40,92,4,4,105,Ti,2,790,15
41,92,4,4,105,Ti,3,790,15
46,85,5,8,105,Al,2,750,10
47,85,5,6,105,Al,4,750,10
48,70,30,0,105,F,1,450,12
49,80,20,0,105,F,2,450,12
50,90,10,0,105,F,4,450,12
55,80,0,20,110,Ti,1.25,750,12
56,80,0,20,110,Ti,2.5,750,12
57,80,0,20,110,Ti,5,750,12
58,99.5,0,0,103,Nb,0.5,730,16
59,99,0,0,103,Nb,1,730,16
60,98,0,0,103,Nb,2,730,16
61,89.6,4.7,4.7,101,W,0.5,770,10
62,89.6,4.7,4.7,101,W,1,770,10
63,90,5,5,105,W,0.1,680,15
64,90,5,5,105,W,0.5,680,15
65,90,5,5,105,W,1,680,15
66,100,0,0,101,W,1,770,10
67,100,0,0,101,W,1.5,790,10
68,100,0,0,101,W,2,810,10
72,80,10,10,105,Ta,0.25,750,10
73,90,5,5,101,Sn,0.3,750,10
74,96,0,4,101,Mo,1,700,10
75,96,0,4,101,Mo,1,700,30
76,96,0,4,101,Mo,1,700,60
80,96,0,4,101,W,1,800,10
81,96,0,4,101,Sb,1,800,10
82,96,0,4,101,Nb,1,800,10
83,96,0,4,101,Ta,1,800,10
84,96,0,4,101,Ti,1,800,10
85,96,0,4,101,Al,1,800,10
1,92,4,4,100,W,1,780,10
2,92,4,4,100,W,2,780,10
3,92,4,4,100,W,0.5,780,10
4,92,4,4,100,W,0.25,780,10
5,88.8,5.6,5.6,100,Nb,0.35,780,10
6,88.8,5.6,5.6,100,Nb,0.7,780,10
7,88.8,5.6,5.6,100,Nb,1,780,10
9,85,0,10,105,Al,5,750,15
13,90,0,7,105,Al,3,750,20
15,80,10,10,105,Y,0.5,850,15
16,80,10,10,105,Y,1,850,15
17,80,10,10,105,Y,1.5,850,15
18,80,10,10,105,Y,0.5,850,15
19,80,10,10,105,Y,1,850,15
20,80,10,10,105,Y,1.5,850,15
21,90,10,0,105,Nb,0.5,770,20
22,90,10,0,105,Nb,1,770,20
23,90,10,0,105,Nb,2,770,20
24,100,0,0,103,Al,3,730,16
25,100,0,0,103,Al,5,730,16
26,100,0,0,103,Al,7,730,16
27,90,10,0,103,W,1,720,12
28,90,10,0,103,Mg,1,720,12
30,94,0,4,105,Al,2,750,20
32,95,0,5,104,Mo,0.5,760,10
33,95,0,5,104,Mo,1,760,10
34,95,0,5,104,Mo,1.5,760,10
35,81.5,0,15,105,Al,3.5,750,21
42,90,10,0,104,Ti,2.5,750,12
43,90,5,5,101,Al,0.5,750,28
44,90,5,5,101,Al,1,750,28
45,90,5,5,101,Al,2,750,28
46,90,5,5,101,Al,3,750,28
47,90,5,5,101,Al,5,750,28
48,90,10,0,103,Ti,1,800,12
49,90,10,0,103,Ti,2,800,12
50,90,10,0,103,Ti,5,800,12
51,90,10,0,103,Zr,1,800,12
52,90,10,0,103,Zr,2,800,12
53,90,10,0,103,Zr,5,800,12
54,90,10,0,103,Hf,1,800,12
55,90,10,0,103,Hf,2,800,12
56,90,10,0,103,Hf,5,800,12
57,95,5,0,105,Al,1,730,16
58,95,5,0,105,Al,3,730,16
59,95,5,0,105,Al,5,730,16
60,90,5,5,101,Sn,0.3,750,10
61,90,5,5,101,Sn,0.3,750,10
62,90,0,10,101,Al,1.5,730,10
64,96,0,4,101,Al,1,700,10
66,100,0,0,101,W,1,770,10
67,100,0,0,101,W,1.5,790,10
68,100,0,0,101,W,2,810,10
69,100,0,0,101,Zr,0.5,650,10
70,96,0,4,101,Al,1,700,10
71,96,0,4,101,Mo,0.5,700,10
72,96,0,4,101,Mo,1,700,10
73,96,0,4,101,Mo,1.5,700,10
74,96,0,4,101,Mo,2,700,10
75,92,4,4,101,Al,1,750,10
76,92,4,4,101,Al,3,750,10
77,92,4,4,101,Al,5,750,10
78,81.5,0,15,105,Al,3.5,750,15
80,80,0,15,115,Al,5,720,15
